Word;Score
business;0
economic;0
energy;0
expansion;0
housing;0
inflation;0
investments;0
outlook;0
prices;0
resource;0
spending;0
wage;0
businesses;0
economy;0
equities;0
financial;0
income;0
inflationary;0
labour;0
output;0
production;0
securities;0
target;0
wages;0
demand;0
employment;0
equity;0
growth;0
indicators;0
investment;0
manufacturing;0
price;0
recovery;0
slack;0
toll;0
accommodation;-1
recession;-1
devastation;-1
unemployment;-1
downturn;-1
